"tank","tank_use","data_time","substrate","parameter","parameter_abb","unit","value"
1,"Experiment",2025-05-01 07:59:00,"Paving sand","Temperature","Temp","(°C)","17.600000000000001"
1,"Experiment",2025-05-01 07:59:00,"Paving sand","Pressure","Press","(mbars)","999.5"
1,"Experiment",2025-05-01 07:59:00,"Paving sand","Dissolved Oxygen","DO","(%)","96.6"
1,"Experiment",2025-05-01 07:59:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","9.2200000000000006"
1,"Experiment",2025-05-01 07:59:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","208.6"
1,"Experiment",2025-05-01 07:59:00,"Paving sand","Conductivity","Cond","(µS/cm)","179.1"
1,"Experiment",2025-05-01 07:59:00,"Paving sand","Salinity","SAL","(ppt)","0.1"
1,"Experiment",2025-05-01 07:59:00,"Paving sand","pH","pH",NA,"7.69"
2,"Experiment",2025-05-01 07:59:00,"Paving sand","Temperature","Temp","(°C)","17.5"
2,"Experiment",2025-05-01 07:59:00,"Paving sand","Pressure","Press","(mbars)","999.4"
2,"Experiment",2025-05-01 07:59:00,"Paving sand","Dissolved Oxygen","DO","(%)","96.4"
2,"Experiment",2025-05-01 07:59:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","9.2100000000000009"
2,"Experiment",2025-05-01 07:59:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","202.3"
2,"Experiment",2025-05-01 07:59:00,"Paving sand","Conductivity","Cond","(µS/cm)","173.4"
2,"Experiment",2025-05-01 07:59:00,"Paving sand","Salinity","SAL","(ppt)","0.1"
2,"Experiment",2025-05-01 07:59:00,"Paving sand","pH","pH",NA,"7.65"
3,"Experiment",2025-05-01 08:00:00,"Paving sand","Temperature","Temp","(°C)","17.600000000000001"
3,"Experiment",2025-05-01 08:00:00,"Paving sand","Pressure","Press","(mbars)","999.5"
3,"Experiment",2025-05-01 08:00:00,"Paving sand","Dissolved Oxygen","DO","(%)","95.3"
3,"Experiment",2025-05-01 08:00:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","9.09"
3,"Experiment",2025-05-01 08:00:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","210.3"
3,"Experiment",2025-05-01 08:00:00,"Paving sand","Conductivity","Cond","(µS/cm)","180.4"
3,"Experiment",2025-05-01 08:00:00,"Paving sand","Salinity","SAL","(ppt)","0.1"
3,"Experiment",2025-05-01 08:00:00,"Paving sand","pH","pH",NA,"7.61"
4,"Experiment",2025-05-01 08:00:00,"Paving sand","Temperature","Temp","(°C)","17.600000000000001"
4,"Experiment",2025-05-01 08:00:00,"Paving sand","Pressure","Press","(mbars)","999.5"
4,"Experiment",2025-05-01 08:00:00,"Paving sand","Dissolved Oxygen","DO","(%)","95.2"
4,"Experiment",2025-05-01 08:00:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","9.07"
4,"Experiment",2025-05-01 08:00:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","219.4"
4,"Experiment",2025-05-01 08:00:00,"Paving sand","Conductivity","Cond","(µS/cm)","188.6"
4,"Experiment",2025-05-01 08:00:00,"Paving sand","Salinity","SAL","(ppt)","0.1"
4,"Experiment",2025-05-01 08:00:00,"Paving sand","pH","pH",NA,"7.53"
5,"Experiment",2025-05-01 08:01:00,"Paving sand","Temperature","Temp","(°C)","17.7"
5,"Experiment",2025-05-01 08:01:00,"Paving sand","Pressure","Press","(mbars)","999.5"
5,"Experiment",2025-05-01 08:01:00,"Paving sand","Dissolved Oxygen","DO","(%)","95.3"
5,"Experiment",2025-05-01 08:01:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","9.08"
5,"Experiment",2025-05-01 08:01:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","219.2"
5,"Experiment",2025-05-01 08:01:00,"Paving sand","Conductivity","Cond","(µS/cm)","188.4"
5,"Experiment",2025-05-01 08:01:00,"Paving sand","Salinity","SAL","(ppt)","0.1"
5,"Experiment",2025-05-01 08:01:00,"Paving sand","pH","pH",NA,"7.52"
6,"Experiment",2025-05-01 08:01:00,"Paving sand","Temperature","Temp","(°C)","17.600000000000001"
6,"Experiment",2025-05-01 08:01:00,"Paving sand","Pressure","Press","(mbars)","999.4"
6,"Experiment",2025-05-01 08:01:00,"Paving sand","Dissolved Oxygen","DO","(%)","93.8"
6,"Experiment",2025-05-01 08:01:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","8.9499999999999993"
6,"Experiment",2025-05-01 08:01:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","214.1"
6,"Experiment",2025-05-01 08:01:00,"Paving sand","Conductivity","Cond","(µS/cm)","183.9"
6,"Experiment",2025-05-01 08:01:00,"Paving sand","Salinity","SAL","(ppt)","0.1"
6,"Experiment",2025-05-01 08:01:00,"Paving sand","pH","pH",NA,"7.52"
7,"Holding",2025-05-01 08:02:00,"Paving sand","Temperature","Temp","(°C)","17.600000000000001"
7,"Holding",2025-05-01 08:02:00,"Paving sand","Pressure","Press","(mbars)","999.5"
7,"Holding",2025-05-01 08:02:00,"Paving sand","Dissolved Oxygen","DO","(%)","98"
7,"Holding",2025-05-01 08:02:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","9.36"
7,"Holding",2025-05-01 08:02:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","202.3"
7,"Holding",2025-05-01 08:02:00,"Paving sand","Conductivity","Cond","(µS/cm)","173.6"
7,"Holding",2025-05-01 08:02:00,"Paving sand","Salinity","SAL","(ppt)","0.1"
7,"Holding",2025-05-01 08:02:00,"Paving sand","pH","pH",NA,"7.69"
8,"Holding",2025-05-01 08:03:00,"Paving sand","Temperature","Temp","(°C)","17.5"
8,"Holding",2025-05-01 08:03:00,"Paving sand","Pressure","Press","(mbars)","999.6"
8,"Holding",2025-05-01 08:03:00,"Paving sand","Dissolved Oxygen","DO","(%)","97.9"
8,"Holding",2025-05-01 08:03:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","9.36"
8,"Holding",2025-05-01 08:03:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","204.5"
8,"Holding",2025-05-01 08:03:00,"Paving sand","Conductivity","Cond","(µS/cm)","175.2"
8,"Holding",2025-05-01 08:03:00,"Paving sand","Salinity","SAL","(ppt)","0.1"
8,"Holding",2025-05-01 08:03:00,"Paving sand","pH","pH",NA,"7.76"
9,"Holding",2025-05-01 08:03:00,"Paving sand","Temperature","Temp","(°C)","17.399999999999999"
9,"Holding",2025-05-01 08:03:00,"Paving sand","Pressure","Press","(mbars)","999.5"
9,"Holding",2025-05-01 08:03:00,"Paving sand","Dissolved Oxygen","DO","(%)","96.3"
9,"Holding",2025-05-01 08:03:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","9.2200000000000006"
9,"Holding",2025-05-01 08:03:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","204.5"
9,"Holding",2025-05-01 08:03:00,"Paving sand","Conductivity","Cond","(µS/cm)","174.8"
9,"Holding",2025-05-01 08:03:00,"Paving sand","Salinity","SAL","(ppt)","0.1"
9,"Holding",2025-05-01 08:03:00,"Paving sand","pH","pH",NA,"7.79"
10,"Holding",2025-05-01 08:03:00,"Paving sand","Temperature","Temp","(°C)","17.399999999999999"
10,"Holding",2025-05-01 08:03:00,"Paving sand","Pressure","Press","(mbars)","999.5"
10,"Holding",2025-05-01 08:03:00,"Paving sand","Dissolved Oxygen","DO","(%)","94.4"
10,"Holding",2025-05-01 08:03:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","9.0399999999999991"
10,"Holding",2025-05-01 08:03:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","221.2"
10,"Holding",2025-05-01 08:03:00,"Paving sand","Conductivity","Cond","(µS/cm)","189.2"
10,"Holding",2025-05-01 08:03:00,"Paving sand","Salinity","SAL","(ppt)","0.11"
10,"Holding",2025-05-01 08:03:00,"Paving sand","pH","pH",NA,"7.79"
11,"Holding",2025-05-01 08:03:00,"Paving sand","Temperature","Temp","(°C)","17.399999999999999"
11,"Holding",2025-05-01 08:03:00,"Paving sand","Pressure","Press","(mbars)","999.4"
11,"Holding",2025-05-01 08:03:00,"Paving sand","Dissolved Oxygen","DO","(%)","91.9"
11,"Holding",2025-05-01 08:03:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","8.8000000000000007"
